Clam,Observer ,Size_cm,Date,Treatment,Time_On,Time_Off,duration_hr,ht_after,log10_after,Treatment_Number,Notes
2,EH,10,20-Jan-20,Transparent,8:50,15:03,6.22,16,1.204119983,1,
30,SV,10,20-Jan-20,Transparent,10:28,16:26,5.97,13,1.113943352,1,
22,HH,13,20-Jan-20,Transparent,9:55,16:09,6.23,25,1.397940009,1,
4,HH,10.5,20-Jan-20,Transparent,8:57,15:13,6.27,44,1.643452676,1,
18,SV,10,20-Jan-20,Transparent,9:49,15:53,6.07,11,1.041392685,1,
29,EH,9,20-Jan-20,Transparent,10:19,15:57,5.63,48,1.681241237,1,
11,EH,8.5,20-Jan-20,Transparent,9:08,15:29,6.35,25,1.397940009,1,
20,EH,8,20-Jan-20,Transparent,10:23,15:53,5.5,19,1.278753601,1,
13,HH,7.5,20-Jan-20,Transparent,9:23,15:35,6.2,66,1.819543936,1,
24,EH,9,22-Jan-20,Transparent,9:25,16:34,7.15,8,0.903089987,2,
26,HH,11,22-Jan-20,Transparent,9:30,16:43,7.22,12,1.079181246,2,
8,HH,12.5,22-Jan-20,Transparent,8:33,15:40,7.12,29,1.462397998,2,
19,SV,7.25,22-Jan-20,Transparent,9:09,16:20,7.18,15,1.176091259,2,
28,SV,8.2,22-Jan-20,Transparent,9:45,16:54,7.15,19,1.278753601,2,
6,EH,10.5,22-Jan-20,Transparent,8:28,15:30,7.03,19,1.278753601,2,
10,SV,9.5,22-Jan-20,Transparent,8:43,15:45,7.03,32,1.505149978,2,
17,HH,9,22-Jan-20,Transparent,8:59,16:13,7.23,59,1.770852012,2,
15,EH,15.5,22-Jan-20,Transparent,8:46,16:07,7.35,107,2.029383778,2,
3,HH,8.5,24-Jan-20,Transparent,8:05,14:52,6.78,16,1.204119983,3,
21,HH,9,24-Jan-20,Transparent,8:56,15:39,6.72,12,1.079181246,3,
30,HH,10,24-Jan-20,Transparent,9:25,16:04,6.65,20,1.301029996,3,
7,EH,7.5,24-Jan-20,Transparent,8:30,15:03,6.55,12,1.079181246,3,
16,EH,7,24-Jan-20,Transparent,8:46,15:17,6.52,7,0.84509804,3,
23,SV,7.5,24-Jan-20,Transparent,9:15,15:45,6.5,11,1.041392685,3,
25,EH,10.5,24-Jan-20,Transparent,9:18,15:36,6.3,21,1.322219295,3,
14,SV,9,24-Jan-20,Transparent,8:42,15:22,6.67,25,1.397940009,3,
12,HH,13,24-Jan-20,Transparent,8:33,15:14,6.68,145,2.161368002,3,
16,HH,7,20-Jan-20,Black,9:35,15:42,6.12,18,1.255272505,1,
12,SV,13,20-Jan-20,Black,9:17,15:32,6.25,31,1.491361694,1,
27,SV,12.5,20-Jan-20,Black,10:20,16:35,6.25,7,0.84509804,1,
5,EH,12.7,20-Jan-20,Black,8:57,15:14,6.28,11,1.041392685,1,
21,SV,9,20-Jan-20,Black,10:01,16:07,6.1,6,0.77815125,1,
3,SV,8.5,20-Jan-20,Black,8:50,15:05,6.25,10,1,1,
7,HH,7.5,20-Jan-20,Black,9:01,15:23,6.37,50,1.698970004,1,
23,EH,7.5,20-Jan-20,Black,10:00,16:09,6.15,43,1.633468456,1,
25,HH,10.5,20-Jan-20,Black,10:12,16:23,6.18,56,1.748188027,1,
27,EH,12.5,22-Jan-20,Black,9:34,16:49,7.25,12,1.079181246,2,
2,HH,10,22-Jan-20,Black,8:23,15:20,6.95,6,0.77815125,2,
22,SV,13,22-Jan-20,Black,9:23,16:26,7.05,14,1.146128036,2,
18,EH,10,22-Jan-20,Black,9:00,16:16,7.27,36,1.556302501,2,
13,SV,7.5,22-Jan-20,Black,8:47,15:49,7.03,17,1.230448921,2,
9,EH,9,22-Jan-20,Black,8:31,15:38,7.12,6,0.77815125,2,
20,HH,8,22-Jan-20,Black,9:39,17:00,7.35,31,1.491361694,2,
29,HH,9,22-Jan-20,Black,9:34,16:52,7.3,32,1.505149978,2,
11,HH,8.5,22-Jan-20,Black,8:49,15:49,7,39,1.591064607,2,
24,HH,9,24-Jan-20,Black,9:07,15:45,6.63,55,1.740362689,3,
15,HH,15.5,24-Jan-20,Black,8:47,15:24,6.62,20,1.301029996,3,
10,EH,9.5,24-Jan-20,Black,8:36,15:07,6.52,20,1.301029996,3,
8,SV,12.5,24-Jan-20,Black,8:24,15:15,6.85,22,1.342422681,3,
26,SV,11,24-Jan-20,Black,9:25,15:51,6.43,13,1.113943352,3,
17,SV,9,24-Jan-20,Black,8:50,15:31,6.68,10,1,3,
1,EH,10,24-Jan-20,Black,8:04,14:55,6.85,28,1.447158031,3,
28,EH,8.2,24-Jan-20,Black,9:23,15:42,6.32,11,1.041392685,3,
6,HH,10.5,24-Jan-20,Black,8:22,15:00,6.63,20,1.301029996,3,
19,EH,7.25,24-Jan-20,Black,8:58,15:24,6.43,25,1.397940009,3,
